discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,This planet was discovered by Wittenmyer et al. 2011. This was a ground based discovery. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2011,0.060000,1.758000,735.10000000,7 CMa b,1.85000,165.3000,Confirmed planets,19/10/24
RV,This planet was discovered by Luque et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.080000,2.153000,996.00000000,7 CMa c,0.87000,233.5000,Confirmed planets,19/10/24
RV,The star 81 Ceti is a G-type giant in the constellation of Cetus.,2452486,2008,0.206,2.5,952.7,81 Cet b,5.3,175.0,Confirmed planets,15/09/20
RV,The first planet around the star 83 Leonis B (HD 99492) was discovered in 2004. A second planet was announced 6 years later but was subsequently shown to be an artifact of the stellar activity cycle.,,2004,0.07,0.123,17.054,83 Leonis B b,0.079,240.7,Confirmed planets,17/11/28
RV,"HD 99492 c was announced in 2010. Subsequent observations showed that the radial velocity variations attributed to this planet correlated with the stellar activity cycle, indicating that the planet is an artifact of the activity.",2449636,2010,0.1,5.4,4970,83 Leonis B c,0.36,38,Retracted planet candidate,17/11/28
RV,This planet was detected by the Bohyunsan Optical Astronomy Observatory (BOAO) which searches for exoplanets at northern circumpolar stars.,2454108.5,2015,0.06,0.49,93.4,8 Ursae Minoris b,1.5,,Confirmed planets,15/09/30
RV,91 Aquarii is a triple star system in the constellation Aquarius. It is visible to the naked eye and is host to at least one extrasolar planet.,2453472.1,2003,0.027,0.70,181.4,91 Aquarii A b,3.2,177.3,Confirmed planets,15/11/03
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2008,0.4,93.9,,AB Aur b,9.0,,Confirmed planets,22/04/04
imaging,"AB Pictoris is a star in the constellation of Pictor. Because of its high mass, the companion could be a planet or a brown dwarf.",,2005,,,,AB Pic b,12,,Confirmed planets,10/12/06
RV,,2451213.52,2011,0.25,1.2,380.8,alf Ari b,1.8,89.16,Confirmed planets,15/11/17
RV,Investigations of long-period radial velocity in Aldebaran first reported over 20 years ago and further photometric investigations provide further evidence of a planetary companion to Aldebaran.,2451297.0,2015,0.10,1.46,628.96,alf Tau b,6.47,287,Controversial,15/11/17
RV,"Astronomers using ESO telescopes and other facilities have found clear evidence of a planet orbiting the closest star to Earth, Proxima Centauri. The long-sought world, designated Proxima b, orbits its cool red parent star every 11 days and has a temperature suitable for liquid water to exist on its surface. This rocky world is a little more massive than the Earth and is the closest exoplanet to us — and it may also be the closest possible abode for life outside the Solar System.",,2016,,0.04857,11.18427,Proxima Centauri b,0.003691,,Confirmed planets,16/08/22
RV,"Proxima c is a Super-Earth about 7 times as heavy as Earth, orbiting at roughly 1.5 astronomical units (220,000,000 km) every 1,900 days (5.2 yr). Due to its large distance from Proxima Centauri, the exoplanet is unlikely to be habitable, with a low equilibrium temperature of around 39 K. The planet was first reported by Italian astrophysicist Mario Damasso and his colleagues in April 2019. Damasso's team had noticed minor movements of Proxima Centauri in the radial velocity data from the ESO's HARPS instrument, indicating a possible additional planet orbiting Proxima Centauri. In 2020, the planet's existence was confirmed by precovery images from Hubble c. 1995, making it the first and closest planet ever to be directly imaged. Due to the differences in how its light shines throughout its orbit, the planet is speculated to have a ring system.",,2019,,,1929,Proxima Centauri c,0.022024,,Confirmed planets,20/08/29
RV,"This planet has been found using a large set of observations taken with the ESPRESSO spectrograph at the VLT. This candidate planet is the third detected in the system and the lightest yet discovered orbiting this star. At just a quarter of Earth’s mass, the planet is also one of the lightest exoplanets ever found. The analysis of subsets of the ESPRESSO data, the activity indicators, and chromatic RVs suggest that this signal is not caused by stellar variability but instead by a planetary companion.",,2022,0.04,0.02885,5.122,Proxima Centauri d,0.000818,,Confirmed planets,22/02/10
RV,"Alpha Centauri is one of the brightest stars in the southern sky (in fact, it is a triple system). The planet candidate Alpha Centauri Bb was announced as the nearest exoplanet to Earth and also the lightest exoplanet ever discovered around a Sun-like star. The candidate was detected using the HARPS instrument on the 3.6-metre telescope at ESO's La Silla Observatory in Chile. The planet's existence was challenged by Hatzes (2013) and was shown to be likely an artifact caused by the data sampling by Rajpaul et al. (2015).",,2012,0.0,0.04,3.2357,Alpha Centauri B b,0.00356,,Retracted planet candidate,20/08/29
transit,A possible transit event was detected in Hubble Space Telescope photometry of Alpha Centauri B while searching for transits of the planet candidate Alpha Centauri Bb. This may be due to the presence of a roughly Earth-sized planet in an orbit less than 20 days.,,2015,,,,Alpha Centauri B c,,,Controversial,15/11/17
transit,This planet was discovered by Plavchan et al. 2020. The discovery was made with a space based telescope (0.1 m TESS Telescope). The parameters listed here are those reported by Plavchan et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.100000,0.066000,8.46321000,AU Mic b,0.18000,,Confirmed planets,20/06/24
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.47,2.47,1393.0,BD+02.3313 b,34.1,351.3,Confirmed planets,21/01/28
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.2,1.3,481.9,BD+03 2562 b,6.4,218.0,Confirmed planets,17/06/30
RV,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,2454637.7,2009,0.15,0.056,5.60,BD-08 2823 b,0.045,30,Confirmed planets,15/11/17
RV,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,2454193,2009,0.19,0.68,237.6,BD-08 2823 c,0.33,-233,Confirmed planets,15/11/17
RV,The star BD-103166 is a K-type main sequence star in the constellation Crater. It is three times as metal-rich as our Sun.,2451171.22,2000,0.0190,0.0427,3.48777,BD-10 3166 b,0.408,334,Confirmed planets,15/11/17
RV,This planet was discovered by Moutou et al. 2015. This was a ground based discovery. The parameters listed here are those reported by Barbato et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.050000,2.360000,1634.00000000,BD-11 4672 b,0.65000,343.8800,Confirmed planets,20/07/23
