distance,rightascension,name,constellation,declination,binaries,planets,stars
115,00 33 10.3945,HD 2952,Cassiopeia,+54 53 41.9464,0.0,1.0,1.0
31.2707000,04 42 05,HD 29985,Caelum,-33 55 16,0.0,1.0,1.0
55.68,04 41 54.3739,HD 30177,Dorado,-58 01 14.7246,0.0,2.0,1.0
26.5,04 48 36.3850,HD 30562,Eridanus,-05 40 26.5542,0.0,1.0,1.0
57.1,04 48 28.48561,HD 30669,Caelum,-28 25 09.4699,0.0,1.0,1.0
118,04 50 17.8615,HD 30856,Eridanus,-24 21 36,0.0,1.0,1.0
50.3,04 54 43.65327,HD 31253,Orion,+12 21 07.9133,0.0,1.0,1.0
38.6,04 55 38.3827,HD 31527,Lepus,-23 14 30.7589,0.0,3.0,1.0
47.36,00 34 57.5243,HD 3167,Pisces,+04 22 53.2835,0.0,3.0,1.0
120.6,05 09 36.71904,HD 32518,Camelopardalis,+69 38 21.8510,0.0,1.0,1.0
36.39,05 07 55.76384,HD 32963,Taurus,+26 19 40.6623,0.0,1.0,1.0
50.2,15 49 37.6938,HD 330075,Norma,-49 57 48.6770,0.0,1.0,1.0
50.1928000,19 42 28.8208,HD 331093,Cygnus,+31 44 25.4299,0.0,1.0,1.0
116.0,05 07 35.5414,HD 33142,Lepus,-13 59 11.3362,0.0,2.0,1.0
80.85,20 26 57.9179,HD 332231,Cygnus,+33 44 40.0246,0.0,1.0,1.0
86,05 08 01.0122,HD 33283,Lepus,-26 47 50.8940,0.0,1.0,1.0
20.98,05 22 33.5290,HD 33564,Camelopardalis,+79 13 52.1426,0.0,1.0,1.0
100.9,05 12 36.10097,HD 33844,Lepus,-14 57 04.0084,0.0,2.0,1.0
45.37,05 17 40.9804,HD 34445,Orion,+07 21 12.0547,0.0,6.0,1.0
70.9,05 31 33.3492,HD 35759,Camelopardalis,+64 19 07.5900,0.0,1.0,1.0
,00 08 18.00,HD 360,Cetus,-08 49 27.00,0.0,1.0,1.0
11,00 39 21.8055,HD 3651,Pisces,+21 15 01.7160,0.0,2.0,1.0
33,05 37 02.4866,HD 37124,Taurus,+20 43 50.8346,0.0,3.0,1.0
46.34,05 40 01.7282,HD 37605,Orion,+06 03 38.0743,0.0,2.0,1.0
37.7,05 37 02.0168,HD 38283,Mensa,-73 41 57.6448,0.0,1.0,1.0
39.28,05 46 34,HD 38529,Orion,+01 10 05,1.0,2.0,2.0
91.68,05 47 59.1756,HD 38801,Orion,-08 19 39.7194,0.0,1.0,1.0
15.2,05 48 34.9401,HD 38858,Orion,-04 05 40.7195,0.0,1.0,1.0
18.27,05 37 09.8851202601,HD 39091,Mensa,-80 28 08.831347245,0.0,2.0,1.0
25.9,05 44 31.9183,HD 39194,Mensa,-70 08 36.8567,0.0,3.0,1.0
105.2,05 53 18.9952,HD 39392,Orion,+22 04 19.7474,0.0,1.0,1.0
23.28,05 54 30.1556,HD 39855,Lepus,-19 42 15.6307,0.0,1.0,1.0
12.995,05 54 04.23991,HD 40307,Pictor,-60 01 24.4977,0.0,6.0,1.0
116.99,06 06 39.1544,HD 40956,Camelopardalis,+63 27 13.8161,0.0,1.0,1.0
33.3,06 04 29,HD 40979,Auriga,+44 15 37,2.0,1.0,3.0
43.03,05 59 50,HD 41004,Pictor,-48 14 23,2.0,1.0,3.0
41.70,00 43 12.5958,HD 4113,Sculptor,-37 58 57.473,2.0,1.0,3.0
52.38,06 00 32.7815,HD 41248,Pictor,-56 09 42.5971,0.0,2.0,1.0
37.1,06 09 56.4680,HD 42012,Auriga,+34 08 07.0703,0.0,1.0,1.0
78.92,00 44 41.2002,HD 4203,Pisces,+20 26 56.1379,0.0,2.0,1.0
33.9,00 44 26.6507,HD 4208,Sculptor,-26 30 56.4581,0.0,1.0,1.0
24.36,06 12 00.5669,HD 42618,Orion,+06 46 59.0573,0.0,1.0,1.0
21.9,00 44 39.2675,HD 4308,Tucana,-65 38 58.2824,0.0,1.0,1.0
137,00 45 40.3575,HD 4313,Pisces,+07 50 42.0722,0.0,1.0,1.0
54.9,06 13 35.6616,HD 43197,Canis Major,-29 53 50.1517,0.0,1.0,1.0
93.2,06 19 34.6758,HD 43691,Auriga,+41 05 32.3053,0.0,1.0,1.0
50.43,06 20 14.3232,HD 44219,Monoceros,-10 43 30.0309,0.0,1.0,1.0
21.88,06 24 43.8797,HD 45184,Canis Major,-28 46 48.4162,0.0,2.0,1.0
49,06 28 45.7111,HD 45350,Auriga,+38 57 46.6628,0.0,1.0,1.0
32.6,06 25 38.4744,HD 45364,Canis Major,-31 28 51.4284,0.0,2.0,1.0
36,06 29 13.1918,HD 45652,Monoceros,+10 56 02.0060,0.0,1.0,1.0
33.4,06 33 12,HD 46375,Monoceros,+05 27 46,1.0,1.0,2.0
37.84,06 36 08.7879,HD 47186,Canis Major,-27 37 20.2668,0.0,2.0,1.0
