magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
13.403,,0.02,13.50,Kepler-857,0.99,,,0.99,13.847,5773.0,1.0
,,-0.04,,Kepler-858,0.96,,,0.91,,5653.0,1.0
,,-0.02,,Kepler-859,0.81,,,0.77,,5020.0,1.0
13.083,,,13.192,Kepler-85,0.9410,,,0.893,13.552,5436,4.0
,,0.09,,Kepler-860,1.04,,,1.06,,5836.0,1.0
,,0.01,,Kepler-861,0.82,,,0.78,,5047.0,1.0
,,0.04,,Kepler-862,0.88,,,0.84,,5333.0,1.0
,,-0.03,,Kepler-863,0.96,,,0.95,,5678.0,1.0
,,0.04,,Kepler-864,1.00,,,1.00,,5754.0,1.0
,,-0.01,,Kepler-865,0.93,,,0.92,,5570.0,1.0
,,-0.07,,Kepler-866,0.75,,,0.71,,4751.0,1.0
,,-0.02,,Kepler-867,0.92,,,0.91,,5541.0,1.0
14.090,,-0.08,14.13,Kepler-868,0.93,,,0.89,14.531,5614.0,1.0
13.359,,0.02,13.399,Kepler-869,0.97,,,0.95,13.741,5664.0,1.0
,,-0.01,,Kepler-870,1.01,,,1.02,,5857.0,1.0
,,0.09,,Kepler-871,1.11,,,1.14,,5993.0,1.0
,,0.04,,Kepler-872,1.05,,,1.08,,5902.0,1.0
,,0.07,,Kepler-873,1.18,,,1.27,,6163.0,1.0
,,0.03,,Kepler-874,1.09,,,1.13,,6020.0,1.0
,,0.03,,Kepler-875,1.06,,,1.11,,5958.0,1.0
,,-0.03,,Kepler-876,0.81,,,0.77,,5060.0,1.0
,,-0.06,,Kepler-877,0.85,,,0.81,,5261.0,1.0
,,-0.03,,Kepler-878,0.81,,,0.77,,5044.0,1.0
,,0.05,,Kepler-879,1.02,,,1.02,,5792.0,1.0
12.981,,-0.17,13.033,Kepler-87,1.10,,,1.82,13.389,5600,2.0
11.039,12.36,0.03,11.065,Kepler-880,1.46,11.85,,1.74,11.250,6761.0,1.0
13.71,,0.00,13.840,Kepler-881,1.06,,,1.09,14.120,5961.0,1.0
12.268,,-0.03,12.354,Kepler-882,0.90,,,0.87,12.761,5476.0,1.0
11.752,,-0.13,11.77,Kepler-883,1.06,,,1.09,12.050,6116.0,1.0
11.547,,0.05,11.595,Kepler-884,1.00,,,0.94,11.931,5715.0,1.0
,,0.11,,Kepler-885,1.21,,,1.35,,6187.0,1.0
,,-0.01,,Kepler-886,1.10,,,1.16,,6098.0,1.0
,,0.08,,Kepler-887,1.19,,,1.29,,6194.0,2.0
,,-0.21,,Kepler-888,0.97,,,0.90,,5875.0,1.0
,,0.19,,Kepler-889,1.14,,,1.25,,5961.0,1.0
13.665,,0.09,13.808,Kepler-890,1.09,,,1.13,14.057,5954.0,1.0
,,0.09,,Kepler-891,1.06,,,1.07,,5887.0,1.0
,,-0.04,,Kepler-892,0.75,,,0.72,,4747.0,1.0
,,-0.03,,Kepler-893,1.00,,,0.99,,5820.0,1.0
13.840,,-0.25,13.91,Kepler-894,0.87,,,0.85,14.330,5603.0,1.0
13.387,,-0.16,13.45,Kepler-895,0.65,,,0.61,14.092,4315.0,1.0
13.659,,-0.10,13.68,Kepler-896,0.84,,,0.81,14.164,5262.0,1.0
13.47,,0.04,13.58,Kepler-897,1.03,,,1.04,13.89,5839.0,1.0
,,-0.06,,Kepler-898,0.65,,,0.62,,4223.0,1.0
,,-0.06,,Kepler-899,0.93,,,0.91,,5595.0,1.0
10.926,,0.02,10.957,Kepler-89,1.28,,F,1.52,11.218,6182,4.0
12.293,14.3,0.05,12.324,Kepler-8,1.13,13.9,F,1.45,12.576,6251,1.0
,,-0.01,,Kepler-900,0.78,,,0.73,,4836.0,1.0
,,-0.30,,Kepler-901,0.59,,,0.57,,4184.0,1.0
,,0.00,,Kepler-902,0.95,,,0.93,,5647.0,1.0
,,0.05,,Kepler-903,0.98,,,0.97,,5682.0,2.0
,,0.05,,Kepler-904,1.16,,,1.25,,6160.0,1.0
,,0.09,,Kepler-905,0.95,,,0.86,,5461.0,1.0
,,-0.09,,Kepler-906,1.06,,,1.02,,6035.0,1.0
,,-0.15,,Kepler-907,1.08,,,1.38,,6106.0,1.0
9.993,12.04,0.15,10.043,Kepler-908,1.11,11.61,,1.12,10.406,5973.0,1.0
10.274,12.06,0.08,10.327,Kepler-909,1.17,11.63,,1.23,10.586,6154.0,1.0
12.482,,-0.12,12.53,Kepler-90,1.20,,,1.2,12.790,6080,8.0
,,0.12,,Kepler-910,1.26,,,1.50,,6230.0,1.0
,,0.03,,Kepler-911,1.34,,,1.99,,6112.0,1.0
,,0.02,,Kepler-912,1.07,,,1.11,,5998.0,1.0
,,-0.52,,Kepler-913,0.63,,,0.61,,4687.0,1.0
,,0.22,,Kepler-914,1.10,,,1.15,,5877.0,1.0
,,0.08,,Kepler-915,1.21,,,1.38,,6173.0,1.0
,,-0.05,,Kepler-916,0.85,,,0.81,,5248.0,1.0
,,-0.38,,Kepler-917,0.80,,,0.76,,5418.0,1.0
,,0.06,,Kepler-918,1.11,,,1.14,,6028.0,1.0
,,0.07,,Kepler-919,1.15,,,1.21,,6113.0,1.0
10.136,,0.11,10.23,Kepler-91,1.31,,,6.30,10.790,4550,2.0
13.511,,0.00,13.649,Kepler-920,0.89,,,0.85,14.026,5403.0,2.0
13.19,,-0.12,13.184,Kepler-921,0.93,,,0.91,13.597,5663.0,1.0
12.188,,-0.05,12.260,Kepler-922,0.95,,,0.93,12.613,5671.0,1.0
12.665,,0.07,12.717,Kepler-923,1.11,,,1.26,12.978,5988.0,1.0
,,0.01,,Kepler-924,1.14,,,1.23,,6167.0,1.0
,,0.12,,Kepler-925,0.77,,,0.72,,4673.0,1.0
,,0.03,,Kepler-926,1.01,,,1.01,,5806.0,1.0
13.032,,0.03,13.137,Kepler-927,0.99,,,0.99,13.460,5743.0,1.0
,,-0.11,,Kepler-928,0.73,,,0.70,,4700.0,1.0
,,-0.04,,Kepler-929,1.01,,,1.02,,5869.0,1.0
,,0.04,,Kepler-930,1.25,,,1.40,,6335.0,1.0
,,-0.01,,Kepler-931,0.86,,,0.81,,5241.0,1.0
,,-0.01,,Kepler-932,0.87,,,0.84,,5331.0,1.0
13.582,,-0.02,13.72,Kepler-933,0.87,,,0.84,14.100,5346.0,1.0
12.970,,0.01,13.057,Kepler-934,0.81,,,0.77,13.549,5001.0,1.0
12.620,,-0.01,12.774,Kepler-935,0.78,,,0.73,13.292,4830.0,1.0
12.817,,0.05,12.887,Kepler-936,0.92,,,0.89,13.279,5482.0,1.0
13.68,,0.08,13.764,Kepler-937,1.15,,,1.22,14.025,6095.0,2.0
,,-0.03,,Kepler-938,0.92,,,0.89,,5533.0,1.0
,,-0.12,,Kepler-939,0.88,,,0.85,,5471.0,1.0
8.370,10.73,-0.18,8.446,Kepler-93,0.911,10.00,,0.919,8.771,5669,2.0
14.019,,-0.08,13.994,Kepler-940,0.97,,,0.96,14.399,5769.0,1.0
13.864,,-0.15,13.98,Kepler-941,0.89,,,0.86,14.389,5539.0,1.0
10.842,,0.09,10.937,Kepler-942,0.81,,,0.75,11.472,4861.0,1.0
13.851,,-0.11,13.960,Kepler-944,0.86,,,0.83,14.364,5409.0,1.0
14.29,,-0.01,14.399,Kepler-945,0.97,,,0.97,14.74,5718.0,1.0
13.29,15.844,-0.09,13.341,Kepler-946,0.94,15.101,,0.93,13.735,5665.0,1.0
13.972,,-0.07,14.158,Kepler-947,0.90,,,0.87,14.517,5508.0,1.0
,,-0.02,,Kepler-948,0.96,,,0.94,,5679.0,1.0
,,0.01,,Kepler-949,0.89,,,0.86,,5403.0,1.0
10.594,,0.34,10.681,Kepler-94,0.81,,,0.76,11.181,4781,2.0
14.139,,0.02,14.165,Kepler-950,1.02,,,1.02,14.509,5857.0,1.0
12.251,,-0.01,12.382,Kepler-951,0.77,,,0.73,12.920,4834.0,1.0
13.662,,0.06,13.741,Kepler-952,1.00,,,0.99,14.063,5730.0,1.0
10.295,12.72,0.260,10.395,Kepler-953,0.950,11.89,,0.9900,10.770,5416.000,2.0
10.840,,0.02,10.945,Kepler-954,0.82,,,0.76,11.409,4990.0,1.0
12.807,,0.02,12.854,Kepler-955,0.89,,,0.84,13.269,5350.0,1.0
11.958,,0.02,11.97,Kepler-956,1.10,,,1.15,12.284,6040.0,1.0
13.45,,-0.01,13.642,Kepler-957,0.81,,,0.75,14.061,4963.0,1.0
,,0.01,,Kepler-958,0.91,,,0.86,,5421.0,1.0
,,0.02,,Kepler-959,1.60,,,2.01,,7005.0,1.0
10.801,,0.30,10.867,Kepler-95,1.08,,,1.41,11.210,5699,1.0
,,0.02,,Kepler-960,0.77,,,0.72,,4755.0,1.0
,,0.05,,Kepler-961,0.96,,,0.90,,5582.0,1.0
,,0.01,,Kepler-962,0.93,,,0.86,,5478.0,1.0
,,-0.02,,Kepler-963,0.91,,,0.87,,5461.0,1.0
,,0.03,,Kepler-964,0.93,,,0.84,,5427.0,1.0
,,0.03,,Kepler-965,1.05,,,1.15,,5886.0,1.0
,,0.04,,Kepler-966,1.02,,,1.02,,5840.0,1.0
,,-0.03,,Kepler-967,0.84,,,0.80,,5178.0,2.0
11.8310000,,0.130,11.9710000,Kepler-968,0.76,14.6260000,,0.70,12.5180000,4598.00,3.0
11.897,,0.22,11.976,Kepler-969,0.92,,,0.82,12.413,5214.0,2.0
8.868,11.25,0.04,8.928,Kepler-96,1.00,10.57,,1.02,9.260,5690,1.0
,,-0.08,,Kepler-970,0.70,,,0.67,,4511.0,1.0
,,-0.06,,Kepler-971,0.88,,,0.85,,5431.0,1.0
,,0.04,,Kepler-972,1.15,,,1.22,,6146.0,1.0
,,-0.06,,Kepler-973,0.86,,,0.78,,5213.0,1.0
,,0.07,,Kepler-975,0.80,,,0.75,,4897.0,1.0
,,0.07,,Kepler-976,0.87,,,0.83,,5232.0,1.0
,,-0.01,,Kepler-977,0.87,,,0.83,,5315.0,1.0
12.011,,-0.01,12.075,Kepler-978,1.07,,,1.09,12.363,6002.0,1.0
12.73,,-0.02,12.794,Kepler-979,0.87,,,0.83,13.257,5310.0,1.0
11.345,,-0.20,11.408,Kepler-97,0.94,,,0.98,11.744,5779,2.0
12.665,,0.01,12.714,Kepler-980,1.05,,,1.06,13.022,5935.0,1.0
13.169,,0.01,13.272,Kepler-981,0.98,,,0.96,13.574,5718.0,1.0
11.895,,0.05,11.957,Kepler-982,1.16,,,1.29,12.203,6139.0,1.0
12.169,14.15,0.12,12.156,Kepler-983,1.13,13.53,,1.08,12.456,6052.0,1.0
11.830,,0.04,11.914,Kepler-984,0.96,,,0.93,12.247,5610.0,1.0
13.019,,0.00,,Kepler-985,0.91,,,0.85,13.537,5434.0,1.0
12.107,,0.04,12.171,Kepler-986,0.96,,,0.98,12.513,5642.0,1.0
13.375,,0.01,13.484,Kepler-987,0.97,,,0.91,13.776,5637.0,1.0
,,-0.32,,Kepler-988,0.55,,,0.53,,4005.0,1.0
,,0.01,,Kepler-989,0.82,,,0.78,,5074.0,1.0
11.253,,0.18,11.316,Kepler-98,0.99,,,1.11,11.672,5539,1.0
,,0.01,,Kepler-990,1.05,,,1.08,13.362,5948.0,2.0
12.611,,-0.25,12.720,Kepler-991,0.64,,,0.61,13.329,4392.0,1.0
11.274,,-0.04,11.381,Kepler-992,0.80,,,0.74,11.899,4944.0,1.0
12.729,,0.03,12.893,Kepler-993,0.57,,,0.54,13.587,3843.0,1.0
11.453,,-0.13,11.611,Kepler-994,0.56,,,0.54,12.264,3934.0,1.0
13.021,,-0.07,13.066,Kepler-995,0.83,,,0.80,13.566,5206.0,1.0
13.171,,0.03,13.246,Kepler-996,1.09,,,1.14,13.55,6014.0,1.0
10.608,12.79,0.05,10.66,Kepler-997,1.22,11.52,,1.56,10.929,6150.0,1.0
,,0.07,,Kepler-998,1.12,,,1.18,,6058.0,1.0
,,0.05,,Kepler-999,1.29,,,1.65,,6237.0,1.0
10.757,,0.18,10.852,Kepler-99,0.79,,,0.73,11.368,4782,1.0
12.337,,0.12,12.391,Kepler-9,1.07,13.9,G2,1.02,12.710,5777,3.0
,,,,KIC 10001893,0.47,,sdB,0.24,16.363,27500,3.0
,,0.07,,KIC 10024862,1.07,,,1.11,,6616.0,1.0
,,0.01,,KIC 10068024,1.22,,,1.574,,6118.0,1.0
13.754,,-0.04,13.869,KIC 10525077,1.01,,,1.01,14.143,6091,2.0
,,-0.23,,KIC 10905746,0.578,13,,0.548,10.65,,1.0
13.319,,-0.180,13.433,KIC 12557548,0.666,,,0.660,14.021,4550,1.0
12.767,,-0.42,12.819,KIC 3558849,0.98,,,1.005,13.093,6175,2.0
,,,,KIC 5095269(AB),,,F7V/M,,,,1.0
12.367,,-0.38,12.430,KIC 5437945,1.07,,,1.24,12.667,6340,2.0
,,0.161,,KIC 5479689,0.966,,,0.894,,5459.0,1.0
11.324,,-0.50,11.382,KIC 5951458,0.98,,,1.52,11.640,6258,1.0
13.97,17.0,-0.07,14.10,KIC 6185331,0.93,15.64,,0.91,14.467,5612.0,1.0
,,0.00,,KIC 7177553 Aa,1.043,12.9,G2V,0.940,,5800,0.0
,,-0.10,,KIC 7177553 Ab,0.986,13.2,G2V,0.941,,5740,0.0
,,-0.12,,KIC 7177553 Ba,1.040,13.1,G2V,,,5600,0.0
,,-0.12,,KIC 7177553 Bb,1.000,13.2,G2V,,,5600,0.0
,,,,KIC 7821010,,11.0,F2V,,,,1.0
,,-0.02,,KIC 7917485,1.63,,A,,,7067.0,1.0
,,0.2,,KIC 8012732,0.92,,,1.22,,6221.0,1.0
,,0.252,,KIC 8121913,1.456,,,2.233,,5975.3,1.0
9.586,12.87,-0.08,9.675,KIC 8435766,0.83,11.72,G,0.74,10.184,5121,1.0
12.966,,-0.16,13.014,KIC 8540376,1.035,,,1.26,13.260,6474,2.0
,,0.02,,KIC 9413313,0.95,,,1.45,,5359.0,1.0
,,0.0,,KIC 9632895 A,0.934,,,0.833,,5527,0.0
,,,,KIC 9632895 B,0.1938,,,0.2143,,3309,0.0
12.502,,-0.28,12.546,KIC 9663113,0.975,,,1.03,12.823,6065,2.0
,,,,KMT-2016-BLG-0212L,0.48,,,,,,1.0
,,,,KMT-2016-BLG-1107L,0.09,,,,,,1.0
,,,,KMT-2016-BLG-1397L,0.45,,,,,,1.0
,,,,KMT-2016-BLG-1820L,0.04,,,,,,1.0
,,,,KMT-2016-BLG-1836L,0.49,,,,,,1.0
,,,,KMT-2016-BLG-2142L,0.07,,,,,,1.0
,,,,KMT-2016-BLG-2364L,0.50,,,,,,1.0
,,,,KMT-2016-BLG-2397L,0.64,,,,,,1.0
,,,,KMT-2016-BLG-2605,0.064,,,,,,1.0
,,,,KMT-2017-BLG-0165L,0.76,,,,,,1.0
,,,,KMT-2017-BLG-0673L,0.63,,,,,,1.0
,,,,KMT-2017-BLG-1038L,0.37,,,,,,1.0
,,,,KMT-2017-BLG-1146L,0.33,,,,,,1.0
,,,,KMT-2017-BLG-2509,0.46,,,,,,2.0
,,,,KMT-2018-BLG-0029L,1.14,,,,,,1.0
,,,,KMT-2018-BLG-0030,0.51,,,,,,1.0
,,,,KMT-2018-BLG-0087,0.1,,,,,,1.0
,,,,KMT-2018-BLG-0247,0.29,,,,,,1.0
,,,,KMT-2018-BLG-0748L,0.09,,,,,,1.0
,,,,KMT-2018-BLG-1025L,0.22,,,,,,1.0
,,,,KMT-2018-BLG-1292L,1.09,,,,,,1.0
,,,,KMT-2018-BLG-1743,0.3,,,,,,1.0
,,,,KMT-2018-BLG-1976L,0.65,,,,,,1.0
,,,,KMT-2018-BLG-1988L,0.47,,,,,,1.0
,,,,KMT-2018-BLG-1990L,0.09,,M,,,,1.0
,,,,KMT-2018-BLG-1996L,0.69,,,,,,1.0
,,,,KMT-2018-BLG-2004,0.69,,,,,,1.0
,,,,KMT-2018-BLG-2602,0.66,,,,,,1.0
,,,,KMT-2018-BLG-2718,0.82,,,,,,1.0
,,,,KMT-2019-BLG-0253,0.7,,,,,,1.0
,,,,KMT-2019-BLG-0371L,0.09,,,,,,1.0
,,,,KMT-2019-BLG-0414L,0.74,,,,,,1.0
,,,,KMT-2019-BLG-0842L,0.76,,,,,,1.0
,,,,KMT-2019-BLG-1042,0.3,,,,,,1.0
,,,,KMT-2019-BLG-1339L,0.48,,,,,,1.0
,,,,KMT-2019-BLG-1552,0.79,,,,,,1.0
,,,,KMT-2019-BLG-1715,0.76,,,,,,1.0
,,,,KMT-2019-BLG-1953L,0.31,,,,,,1.0
,,,,KMT-2019-BLG-2974,0.47,,,,,,1.0
,,,,KMT-2021-BLG-0119L,0.56,,,,,,1.0
,,,,KMT-2021-BLG-0171L,0.78,,,,,,1.0
,,,,KMT-2021-BLG-0240L,0.56,,,,,,1.0
,,,,KMT-2021-BLG-0240,0.47,,,,,,2.0
,,,,KMT-2021-BLG-0320,0.32,,,,,,1.0
,,,,KMT-2021-BLG-0712,0.22,,,,,,1.0
,,,,KMT-2021-BLG-0748,0.36,,,,,,1.0
,,,,KMT-2021-BLG-0909,0.38,,,,,,1.0
,,,,KMT-2021-BLG-0912,0.75,,,,,,1.0
,,,,KMT-2021-BLG-1077L,0.14,,,,,,2.0
,,,,KMT-2021-BLG-1105,0.63,,,,,,1.0
,,,,KMT-2021-BLG-1253,0.24,,,,,,1.0
,,,,KMT-2021-BLG-1303L,0.57,,,,,,1.0
,,,,KMT-2021-BLG-1303,0.57,,,,,,1.0
,,,,KMT-2021-BLG-1372,0.42,,,,,,1.0
,,,,KMT-2021-BLG-1554L,0.08,,,,,,1.0
,,,,KMT-2021-BLG-1554,0.08,,,,,,1.0
,,,,KMT-2021-BLG-1689L,0.58,,,,,,1.0
,,,,KMT-2021-BLG-1898,0.48,,,,,,1.0
,,,,KMT-2021-BLG-1931,0.37,,,,,,1.0
,,,,KMT-2021-BLG-2478,0.12,,,,,,1.0
13.378,,,13.434,KOI-1194,0.674,,,0.643,14.091,4523,3.0
,,0.27,,KOI-1257 A,0.99,,G5V,1.13,,5520,1.0
,,,,KOI-1257 B,0.7,,K6V/K7V,0.68,,4270,0.0
12.183,,-0.07,,KOI-1299 A,1.353,,K,4.160,,4850,2.0
,,,,KOI-1299 B,0.52,,,,,3660,0.0
10.234,11.73,,10.287,KOI-12,1.50,11.51,,1.40,10.461,,2.0
12.55,13.8,0.40,12.605,KOI-135,1.27,,F8V,1.38,12.858,6050,1.0
11.454,,0.37,11.517,KOI-142,1.022,,B,0.961,11.882,5513,3.0
11.859,,0.14,11.899,KOI-1474,1.39,,,1.75,12.088,6370,2.0
13.238,,,13.266,KOI-1599,1.02,,,0.97,13.631,,2.0
7.486,9.34,-0.20,7.539,KOI-1612,1.08,8.83,,1.23,7.784,6104,1.0
12.621,,0.110,12.654,KOI-1783,1.08,,,1.14,12.917,5922.00,2.0
12.78,,-0.10,12.847,KOI-183,0.85,,G4V,0.95,13.142,5560,1.0
11.056,,0.07,11.279,KOI-1843,0.52,,,0.50,12.0,3687.0,3.0
12.510,,,12.576,KOI-1860,0.999,,,1.075,12.874,,4.0
14.19,,,14.19,KOI-1873,0.98,,,0.9700,14.46,6134.00,2.0
12.806,16.047,0.24,12.931,KOI-188,0.93,14.97,K1V,0.86,13.376,5170,1.0
11.060,,-0.04,11.155,KOI-1894,1.11,,,3.39,11.700,4972.0,1.0
12.777,15.13,-0.19,12.814,KOI-192,0.96,14.42,G2V,1.35,13.161,5800,1.0
13.21,15.736,-0.21,13.23,KOI-195,0.91,15.073,G1V,0.92,13.624,5725,1.0
12.354,,0.48,12.426,KOI-201,1.07,,,1.05,12.746,5649,1.0
12.826,15.08,-0.01,12.948,KOI-206,1.46,14.35,,2.26,13.201,6360,1.0
13.922,,,13.958,KOI-2113,0.897,,,0.806,14.426,5376,2.0
10.285,12.44,,10.356,KOI-2672,0.95,12.26,,1.04,10.672,5565,2.0
12.840,,-0.2,12.993,KOI-2700,0.632,,,0.574,13.578,4433,1.0
10.403,12.50,,10.470,KOI-285,1.209,11.67,,1.719,10.747,5883,3.0
,,-0.14,,KOI-2939 A,1.2207,,F,1.7903,,6210,0.0
,,,,KOI-2939 B,0.9678,,G,0.9663,,5770,0.0
13.86,,,13.97,KOI-2939 C,,,,,14.59,,0.0
9.506,,-0.280,9.680,KOI-314,0.521,,M1V,0.442,10.293,3841,3.0
11.698,,,11.750,KOI-341,0.892,,,0.946,12.087,5523,2.0
12.4830000,,-0.543,12.5400000,KOI-3503,0.86,13.8310000,,1.25,12.8070000,6001.00,2.0
13.101,,-0.12,13.041,KOI-3680,1.00,,,0.91,13.384,5926,1.0
11.081,11.30,0.4,11.089,KOI-368,2.3,11.02,,2.5,11.109,9257.00,1.0
10.628,,,10.693,KOI-370,1.419,,,1.98,10.913,6022.00,2.0
10.915,,-0.01,10.964,KOI-372,1.014,,G2V,1.122,11.294,5820,2.0
12.918,14.9,0.10,12.999,KOI-423,1.26,14.3,F7V,1.25,13.236,6350,1.0
13.27,15.11,0.1,13.294,KOI-428,1.48,14.76,F5IV,2.13,13.536,,1.0
12.499,,-0.07,12.684,KOI-4427,0.526,,,0.505,13.339,3813,1.0
,,-0.22,,KOI-4878,0.9720,,F,1.068,,6031.00,1.0
13.421,,-0.110,13.570,KOI-523,0.92,,,1.32,13.858,5732.00,2.0
15.494,14.71,,15.59,KOI-55,0.496,14.87,sdB,0.203,15.36,27730.0,2.0
12.291,14.00,-0.18,12.345,KOI-680,1.538,13.91,,3.21,12.593,6161,1.0
,,,,KOI-7913,0.76,14.2,,0.79,,,1.0
13.58,16.50,0.18,13.62,KOI-806,0.99,,G,0.95,14.00,5498.0,3.0
13.23,16.584,0.09,13.295,KOI-830,0.87,15.405,K1V,0.80,13.767,5150,1.0
,,0.12,,KOI-984,0.928,12.0,,0.818,,5295.0,1.0
10.931,,0.220,11.029,KPS-1,0.89,13.033,K1V,0.91,11.410,5165.00,1.0
,,,,Kruger 60 A,0.271,11.76,M3.0V,,,,0.0
,,,,Kruger 60 B,0.176,13.38,M4.0V,,,,0.0
7.082,12.45,0.040,7.320,L 168-9,0.62,11.014,M1V,0.60,7.941,3800.00,1.0
,,-0.5,,L 98-59,0.313,11.7,,0.312,,3367.0,4.0
,,,,Lacaille 8760,0.60,8.69,M0.0V,,,,0.0
8.8210000,,-0.240,9.0920000,LHS 1140,0.19,14.1500000,M4.5V,0.21,9.6120010,3216.00,2.0
,,-0.13,,LHS 1478,0.236,13.0,M3.5V,0.246,,3381.0,1.0
,,,,LHS 1678,0.345,12.0,M2V,0.329,,3490.0,2.0
7.993,,-0.120,8.209,LHS 1815,0.50,12.150,M1,0.50,8.801,3643.00,1.0
,,,,LHS 288,0.11,15.51,M5.5V,,,,0.0
,,,,LHS 292,0.08,17.32,M6.5V,,,,0.0
9.145,,,9.477,LHS 3844,0.15,15.260,M5,0.19,10.046,3036.00,1.0
,,0.0,,LHS 475,0.262,12.7,M3.5V,0.279,,3312.0,1.0
8.163,13.01,,8.600,LkCa 15,0.97,12.03,K5:Ve,,9.424,4350,3.0
,,,,LP 145-141,0.75,13.18,DQ6,,,,0.0
8.626,,0.410,8.829,LP 714-47,0.59,,M0.0V,0.58,9.493,3950.00,1.0
10.644,,-0.090,10.993,LP 791-18,0.14,16.900,M(6.1+/-0.7)V,0.17,11.559,2960.00,2.0
7.324,,-0.050,7.601,LSPM J2116+0234,0.43,,M3.0V,0.43,8.219,3475.00,1.0
,,-0.34,,LTT 1445 A,0.256,,M,0.27,,3340.0,2.0
8.204,14.68,0.280,8.439,LTT 3780,0.40,13.070,M4V,0.37,9.007,3331.00,2.0
8.016,,0.270,8.153,LTT 9779,0.77,9.758,G7V,0.95,8.446,5443.00,1.0
,,,,Luhman 16 A,0.032,14.2,L8,,,,0.0
,,,,Luhman 16 B,0.027,,T1,,,,0.0
15.48,18.68,0.02,15.39,Lupus-TR 3,0.87,17.40,K1V,0.82,15.80,5000,1.0
,,,,Luyten 726-8 A,0.102,15.40,M5.5Ve,,,,0.0
,,,,Luyten 726-8 B,0.100,15.85,M6.0Ve,,,,0.0
7.740,,0.000,7.749,MASCARA-1,1.72,8.273,A8,2.10,7.819,7554.00,1.0
7.750,8.40,0.000,7.785,MASCARA-4,1.75,8.190,A7V,1.92,7.837,7800.00,1.0
,,0.43,,MASCARA-5,1.9,8.0,AmC,1.92,,7690.0,1.0
19.16,,,19.94,MOA-2007-BLG-192L,0.084,,M,,20.73,,1.0
,,,,MOA-2007-BLG-400L,0.30,,,,,,1.0
,,,,MOA-2008-BLG-310L,0.21,,,,,,1.0
,,,,MOA-2008-BLG-379L,0.56,,,,,,1.0
,,,,MOA-2009-BLG-266L,0.56,,,,,,1.0
,,,,MOA-2009-BLG-319L,0.38,,K/M,,,,1.0
,,,,MOA-2009-BLG-387L,0.19,,,,,,1.0
,,,,MOA-2010-BLG-073L,0.16,,M,,,,1.0
18.3,,,,MOA-2010-BLG-117L,0.58,24.3,,,,,1.0
,,,,MOA-2010-BLG-311L,,,,,,,1.0
,,,,MOA-2010-BLG-328L,0.11,,,,,,1.0
,,,,MOA-2010-BLG-353L,0.16,,,,,,1.0
,,,,MOA-2010-BLG-477L,0.67,,,,,,1.0
,,,,MOA-2011-BLG-028L,0.75,,,,,,1.0
,,,,MOA-2011-BLG-262L,0.12,,,,,,1.0
,,,,MOA-2011-BLG-291L,0.15,,,,,,1.0
,,,,MOA-2011-BLG-293L,0.86,,G,0.82,,5180,1.0
,,,,MOA-2011-BLG-322L,0.39,,,,,,1.0
,,,,MOA-2012-BLG-006L,0.49,,,,,,1.0
,,,,MOA-2012-BLG-505L,0.10,,,,,,1.0
,,,,MOA-2013-BLG-220L,0.25,,,,,,1.0
,,,,MOA-2013-BLG-605L,0.19,,,,,,1.0
,,,,MOA-2014-BLG-472,0.31,,,,,,1.0
,,,,MOA-2015-BLG-337L,0.01,,,,,,1.0
,,,,MOA-2016-BLG-227L,0.29,,,,,,1.0
,,,,MOA-2016-BLG-231,0.021,,,,,,1.0
,,,,MOA-2016-BLG-319L,0.15,,,,,,1.0
,,,,MOA-2020-BLG-135L,0.23,,,,,,1.0
,,,,MOA-2020-BLG-135,0.23,,,,,,1.0
,,,,MOA-bin-1L,0.75,,,,,,1.0
,,,,MOA-bin-29,0.03,,,,,,1.0
,,,,mu2 Sco,9.1,3.56,B2IV,5.6,,21700.0,1.0
3.68,5.85,0.28,3.72,mu Arae,1.08,5.15,G3 IV-V,1.245,4.16,5700.0,4.0
1.22,5.10,0.36,1.327,mu Leo,1.5,3.88,K2III,11.4,1.93,4538.2,1.0
7.151,11.31,0.14,7.37,NGC 2423 3,2.4,10.04,G5IV-V/K2III,,7.940,,1.0
,12.85,-0.12,,NGC 4349 No 127,3.9,10.82,,,,,1.0
11.728,15.274,-0.02,11.878,NGTS-10,0.696,14.340,K5 V,0.697,12.392,4400,1.0
,,0.22,,NGTS-11,0.862,,,0.832,,5050.0,2.0
10.588,,-0.030,10.692,NGTS-12,1.02,12.382,G,1.59,10.992,5690.00,1.0
,,0.25,,NGTS-13,1.3,12.7,,1.788,,5918.0,1.0
,,0.1,,NGTS-14 A,0.898,13.2,K1V,0.842,,5187.0,1.0
,,,,NGTS-14 B,0.3,,M3V,,,,0.0
,,0.15,,NGTS-15,0.995,14.6,G6V,0.954,,5600.0,1.0
,,0.35,,NGTS-16,1.002,14.4,G7V,1.213,,5550.0,1.0
,,0.15,,NGTS-17,1.025,14.3,G4V,1.337,,5650.0,1.0
,,0.15,,NGTS-18,1.003,14.5,G5V,1.392,,5610.0,1.0
11.936,16.912,,12.058,NGTS-1,0.617,15.524,,0.573,12.702,3916,1.0
,,0.15,,NGTS-20,1.47,11.2,G1IV,1.78,,5980.0,1.0
